citekey,metric,value,units,measured_against,page
liu2026ensembletests,"Lockbox-36, unflagged subset",MDGen 0.59; ConfRover 0.15,post-gate kinetic pass rate,n = 27,p10 (Fig. 4a)
liu2026ensembletests,Lockbox-36 component split,"temporal majority: MDGen 0.78, ConfRover 0.31; geometric valid: 0.69 / 0.36; post-gate 0.58 / 0.11",fraction of proteins,n = 36,p10 (Fig. 4c)
liu2026ensembletests,Lockbox Deep-8 (1 µs references),"MDGen 48%, ConfRover 8%",fraction of reference-to-floor gap closed,"n = 8, 10 windows each","p9, p10"
liu2026ensembletests,BioEmu on Lockbox-36,"0.813, no temporal result",ensemble fidelity,n = 36,p9
liu2026ensembletests,BioKinema with 1-µs references,reference frames 21 → 101; informative metrics 2.0 → 5.5; resolved grid 5/15 → 15/15; passes 1 of 7 proteins,mixed,Deep-8,"p9, p10"
liu2026ensembletests,mdCATH-82 external arm,held-out MD 1.00; ConfRover 0.07 (exceeds floor by 0.07 [0.02–0.13]); floor 0.00,post-gate kinetic pass rate,"82 CATH domains, 320 K, 4-ns contract",p10
liu2026ensembletests,PTM-85 external arm,replicate 0.87; floor 0.00,temporal Layer-3 pass fraction,85 phosphoproteins,"p10, p11"
liu2026ensembletests,Peptide positive controls,Timewarp AD replicate oracle 0.67; MDshare AD 1.00; WLALL 1.00; all i.i.d. floors 0.00,Layer-3 pass fraction / post-gate 1.00,held-out peptide trajectories,"p10, p11, p14"
liu2026ensembletests,Alternative-ruler sensitivity (all 7 temporal metrics → held-out replicate),"reference 1.00, floor 0.00; ConfRover 0.25 → 0.40; MDGen ≈ 0.13",post-gate kinetic pass rate,n = 73 / 82,p7
liu2026ensembletests,Oracle replicate rotation,0.951 / 0.976 / 0.976; floor 0.00,post-gate kinetic pass rate,82 proteins,"p4, p21, p26"
liu2026ensembletests,Selection decoupling,0.963 decoupled vs 0.951 coupled (Δ +0.012),post-gate kinetic pass rate,82 proteins,"p17, p26"
liu2026ensembletests,72-protein shared-ID recomputation,oracle 0.972; MSM 0.361; OU 0.319; ConfRover 0.250; MDGen 0.083; floor 0.000,post-gate kinetic pass rate,n = 72,p19
liu2026ensembletests,Threshold sweep {0.3–0.7},oracle 0.79–0.99; floor 0.00; ConfRover 0.40 → 0.03; MDGen 0.13 → 0.06,post-gate kinetic pass rate,82 proteins,"p20, p26"
liu2026ensembletests,Leave-one-protein-out jackknife,"max swing 0.014 (oracle 0.012, ConfRover 0.014, MDGen 0.012)",post-gate kinetic pass rate,82 proteins,"p20, p26"
liu2026ensembletests,Alignment-screen effect,oracle-to-floor separation change −0.004 (−0.013 to 0.000); all paired CIs include zero,post-gate kinetic pass rate,"72 shared, 62 unflagged","p11, p20"
liu2026ensembletests,S1c calibration attainment gain,ConfRover +0.093 (0.031–0.166); MDGen +0.244 (0.148–0.347); interaction +0.181 (0.062–0.303),fraction of N1–N2 gap closed,n = 73 shared,"p8, p25"
liu2026ensembletests,S1c rescue mechanism,4/5 ConfRover and 17/19 MDGen rescues are Layer-4-only,count,n = 73 / 82,"p8, p25"
liu2026ensembletests,DATA-LIMITED exclusion sensitivity,oracle 0.951 → 0.976; ConfRover 0.247 → 0.288; MSM 0.317 → 0.341; MDGen 0.134 unchanged; floor 0.00,post-gate kinetic pass rate,82 proteins,p18
liu2026ensembletests,Verdict census,"13,791 scored cells (+528 NA = 14,319 grid); SATURATED 3,762 of 12,760 (29.5%); DATA-LIMITED 267 (1.9% scored, 3.0% non-saturated); MODEL-LIMITED 1,227 (8.9%)",metric-by-protein cells,whole scorecard,p17
liu2026ensembletests,Contract-audit separations,"ConfRover 0.956 (0.903–0.996), MDGen 0.921 (0.859–0.971) at 1 ns; BioKinema 0.053 (0.032–0.076), ProTDyn 0.058 (0.036–0.085) at 10 ns; MarS-FM 0.034 (0.018–0.056) at ~50 ns",oracle-minus-floor separation,criterion ≥ 0.30,p18
liu2026ensembletests,Layer-4 validity by model,ConfRover 78%; BioKinema 100%; MDGen 15%; MarS-FM 0%; ProTDyn 4% (3 of 74),fraction of scored proteins,reference envelope + absolute ceiling,"p9, p16, p23"
liu2026ensembletests,MarS-FM global expansion,expands on 74 of 82 proteins; median Rg ratio 5.42,ratio,reference MD,p9
liu2026ensembletests,Clash-ceiling calibration,"absolute ceiling 0.000758 = 2 × max over 246 reference replicates; per-protein reference max +50%, larger bound used",non-adjacent Cα pairs < 4 Å per eligible frame-pair,ATLAS reference replicates,p15
liu2026ensembletests,RMSF guardrail,fails below 0.5× min or above 2.0× max reference,ratio,reference replicates,p15
liu2026ensembletests,Load-bearing constant,RMSF too-cold fraction 0.3 → 0.7 drops ConfRover Layer-4 validity 0.849 → 0.452; BioKinema stays > 0.92,fraction,guardrail sweep,p21
liu2026ensembletests,Clash-ceiling rescale 0.25×–4×,MDGen 0.000–0.171; ConfRover 0.658–0.836; no reordering of the five ordered rows,post-gate kinetic pass rate,82 proteins,p21
liu2026ensembletests,Verdict-constant sweep (27 combos),oracle-to-floor separation 0.80–1.00; floor 0.00,post-gate kinetic pass rate,82 proteins,p21
lu2026twostages,"Full-trunk patching success (seq+pair, all 48 blocks, ESMFold, standard intra mask)","≈40% (≈4,000 of ≈10,000); exact bar value 38.3%",% of donor–target pairs,DSSP donor-motif presence in target region,"p3, p17 (Fig 12), p18"
lu2026twostages,"Full-trunk patching success, touch mask",62.5%,%,same,p17 (Fig 12)
lu2026twostages,Structure-module (IPA) patching success,4.6%,%,same,p17 (Fig 12)
lu2026twostages,Input-intervention baseline (literal donor sequence substitution),2.6%,%,same,p17 (Fig 12)
lu2026twostages,ESM-2 encoder patching success,0.6%,%,same,p17 (Fig 12)
lu2026twostages,"Single-block **sequence** patching, peak","≈40% at block 0 (ESMFold); 40–45% across the three models; effective window k ∈ {0,…,7} (0–8 in Fig 13)",%,same,"p4, p19"
lu2026twostages,"Single-block **pairwise** patching, effective window","onset ≈block 25, peak ≈block 35 (ESMFold, OpenFold); Boltz-1 broad across nearly the whole trunk; touch-mask window 25–47",block index,same,"p4, p18, p19"
lu2026twostages,"Charge-direction ROC-AUC, ESMFold / OpenFold","≈0.85–0.90 at block 0 → near 1.0 by blocks 5–10, held throughout",ROC-AUC,"{K,R,H} vs {D,E} residue classes",p20–21
lu2026twostages,"Charge-direction ROC-AUC, Boltz-1",≈0.75 at earliest MSA block → ≈0.95 by Pairformer block 0,ROC-AUC,same,p20–21
lu2026twostages,Charge probes on `z` — rise window,"blocks 0–15 (ESMFold, OpenFold); blocks 0–3 (Boltz-1); decline in blocks 35–47 in all three",block index; balanced accuracy,"positive/negative charge class of residue *i* from `z_ij`, \|i−j\| ≥ 4",p21–22
lu2026twostages,Same-charge steering effect on cross-strand distance,≈+10 Å (increase) in early blocks,Å,unsteered baseline,p6
lu2026twostages,Charge steering dose–response threshold / saturation,onset ≈0.4; saturating above,std-DoM units,unsteered baseline,p22
lu2026twostages,Charge steering effect-size ordering across models,OpenFold largest > ESMFold intermediate > Boltz-1 smallest,Å,unsteered baseline,p22
lu2026twostages,Charge steering operating strength,"α = 3σ, window size 15",σ of the charge projection,—,p6
lu2026twostages,"Distance probe R², late blocks",≈0.9 (all three models); low at block 0,R²,"true Cα–Cα distance, 200 held-out proteins",p7
lu2026twostages,Distance steering target / strength / window,5.5 Å; α = 20σ; window size 10,Å; σ; blocks,textbook antiparallel β-sheet Cα spacing,p8
lu2026twostages,"`pair2seq` bias contact ROC-AUC, ESMFold",approaching 1.0 in late blocks,ROC-AUC,Cα < 8 Å contacts vs non-contacts,"p7, p23"
lu2026twostages,"`pair2seq` bias contact ROC-AUC, OpenFold / Boltz-1",≈0.9 over a similar block range,ROC-AUC,same,p23
lu2026twostages,Structure-module `z`-scaling effect on mean pairwise Cα distance (scale 0→2),ESMFold ≈15 Å swing; OpenFold ≈20 Å; Boltz-1 ≈13 Å (most of it below scale = 1),Å,"unscaled baseline, scale = 1.0","p7, p23"
lu2026twostages,Structure-module `s`-scaling effect,"""no detectable change"" / ""virtually no effect""",Å,same,"p23, p24"
lu2026twostages,"CKA, ESMFold vs OpenFold",> 0.8 through middle and late blocks,CKA,—,"p8, p24"
lu2026twostages,"CKA, ESMFold vs Boltz-1",> 0.7,CKA,—,p8
lu2026twostages,"CKA, pairings involving Boltz-1 (all pairs)",typically 0.5–0.8,CKA,—,p24–25
lu2026twostages,"Whitened-Procrustes test R², ESMFold ↔ OpenFold",≈0.9 (both directions),R²,"true residue-pair correspondences, held-out","p8, p25"
lu2026twostages,"Whitened-Procrustes test R², OpenFold ↔ Boltz-1",≈0.8–0.9,R²,same,p25
lu2026twostages,"Whitened-Procrustes test R², ESMFold ↔ Boltz-1",≈0.7–0.8 (≈0.75 quoted in §6),R²,same,"p8, p25"
lu2026twostages,"Shuffled-correspondence R², whitened Procrustes",≈ −1 (at the random-orthogonal floor),R²,shuffled residue-pair correspondences,p26
lu2026twostages,"Shuffled-correspondence R², ridge and CCA",0.1–0.25,R²,same,p26
lu2026twostages,"Cross-model patching peak, ESMFold → ESMFold (within-model reference)",≈22%,%,DSSP target-motif presence,p9
lu2026twostages,"Cross-model patching peak, OpenFold → ESMFold","≈15% (§6, p9) / ≈17% (App M, p26) — **the paper gives two different numbers**",%,same,"p9, p26"
lu2026twostages,"Cross-model patching peak, Boltz-1 → ESMFold",≈10%,%,same,p9
lu2026twostages,"Cross-model patching peak, ESMFold → OpenFold",≈11%,%,same,p26
lu2026twostages,"Cross-model patching, pairings involving Boltz-1",5–12%,%,same,p26
lu2026twostages,Cross-model patching effective block window,"blocks 25–40 of the receiving model, all six directions",block index,same,p26
lu2026twostages,"Recycling convergence (ESMFold, App H)","short (<100 aa) proteins: sharp RMSD drop 0→1 recycle, small thereafter; medium/long continue to refine",Å Cα RMSD,highest-recycle prediction,"p16, p17"
lu2026twostages,Compute,"~1,000–1,500 GPU-hours; 2–3 weeks wall-clock on 2× RTX A6000 (48 GB); <24 GB per GPU",GPU-hours,—,p14–15 (Table 1)
lu2026twostages,Statistical reporting,95% CIs reported for Fig 5c (charge steering controls) and Fig 6c (scaling); other results are aggregate rates over hundreds of proteins with no stated interval,—,—,p31
masters2025physics,"Ligand RMSD, AF3, CDK2/ATP wild type",0.2,Å,"co-crystal pose, PDB 1B38",p.2
masters2025physics,"Ligand RMSD, RFAA, CDK2/ATP wild type",2.2,Å,"co-crystal pose, PDB 1B38",p.2
masters2025physics,"Ligand RMSD, RFAA, CDK2 binding-site removal",2.0,Å,"co-crystal pose, PDB 1B38",p.2
masters2025physics,Fraction of CASF systems keeping the same pose after disruption (among those AF3 predicted correctly),> 50,%,ligand RMSD < 2 Å to native,p.4
masters2025physics,"Fraction keeping unaltered pose, confidence > 80 bin, under disruption",42–52 (range over the 3 disruptions),%,ligand RMSD < 2 Å to native,p.4
masters2025physics,"Fraction keeping unaltered pose, confidence > 80 bin, no disruption",78,%,ligand RMSD < 2 Å to native,p.4
masters2025physics,"Funnel MD bound-state probability, CDK2 wild type",0.61 ± 0.05,"probability (mean ± SD, triplicate)",RMSD < 2 Å to native defines bound,"p.8, Table 1"
masters2025physics,"Funnel MD bound-state probability, CDK2 binding site removed",0.42 ± 0.04,probability,as above,"p.8, Table 1"
masters2025physics,"Funnel MD bound-state probability, CDK2 binding site packed",0.00 ± 0.00,probability,as above,"p.8, Table 1"
masters2025physics,"Funnel MD bound-state probability, CDK2 binding site inversion",0.00 ± 0.00,probability,as above,"p.8, Table 1"
masters2025physics,"Funnel MD bound-state probability, glucose unmodified",0.91 ± 0.06,probability,as above,"p.8, Table 1"
masters2025physics,"Funnel MD bound-state probability, glucose 1 methyl",0.81 ± 0.06,probability,as above,"p.8, Table 1"
masters2025physics,"Funnel MD bound-state probability, glucose 2 methyls",0.06 ± 0.04,probability,as above,"p.8, Table 1"
masters2025physics,"Funnel MD bound-state probability, glucose 3, 4, 5, 6 methyls",0.00 ± 0.00 (each),probability,as above,"p.8, Table 1"
masters2025physics,"Funnel MD bound-state probability, ATP charge +1, +2, +3",0.00 ± 0.00 (each),probability,as above,"p.8, Table 1"
masters2025physics,"Apo-vs-holo Cα RMSD, CASF proteins",95% below 1.5,Å,holo predicted structure,p.8
masters2025physics,MEK1 similarity to training set (sucos_shape_pocket_qcov),46.21,unitless,Runs N' Poses dataset (ref. 49),p.9
masters2025physics,Binding-site selection cutoff,3.5,Å (side-chain heavy atom to ligand heavy atom),co-crystallised ligand,p.9
masters2025physics,Pose-success threshold,2,Å ligand RMSD,native co-crystal pose,"p.4, p.10"
masters2025physics,Funnel MD simulation length,1000 ns × 3 replicates per system,ns,—,p.10
masters2025physics,"Fig. 3 bar heights, fraction RMSD < 2 Å (read off figure, approximate)","WT ≈ 0.78 / 0.76 / 0.78; removal ≈ 0.59 / 0.48 / 0.52; packing ≈ 0.53 / 0.53 / 0.49; inversion ≈ 0.35 / 0.38 / 0.42, for pLDDT bins <70 / 70–80 / >80",fraction,ligand RMSD < 2 Å to native,"Fig. 3, p.5"
masters2025physics,"**Cited, not measured here** — AF3 PoseBusters V2 blind-docking accuracy",~81,% within 2 Å RMSD,ref. 28/25,p.2
masters2025physics,"**Cited, not measured here** — DiffDock, same benchmark",38,% within 2 Å RMSD,ref. 29,p.2
masters2025physics,"**Cited, not measured here** — AutoDock Vina vs AF3, binding site given",~60 vs > 93,%,ref. 30 / ref. 25,p.2
matic2023gpcrome,Experimental complexes analysed,"362 (166 Gs, 184 Gi/o, 9 Gq/11, 3 G12/13); 376 before chimera exclusion",structures,"PDB via SIFTS/Pfam, as of March 2023","p.2, p.12"
matic2023gpcrome,Unique receptors in experimental set,"93 class A, 17 B1, 10 B2, 3 C, 2 Frizzled (125 total); 9 distinct Gα",receptors,same,p.2
matic2023gpcrome,Non-redundant representative complexes,"125 (73 Gi/o, 43 Gs, 6 Gq/11, 3 G12/13)",complexes,"one per receptor–G-protein pair, by resolution then coverage","p.2, p.3 (Fig. 1C), p.13"
matic2023gpcrome,"**AF-Multimer mean DockQ, templates ON**",**0.664**,DockQ (0–1),125 experimental complexes,"p.7, Fig. 9A"
matic2023gpcrome,"**AF-Multimer mean DockQ, templates OFF**",**0.645**,DockQ (0–1),125 experimental complexes,"p.7, Fig. 9A"
matic2023gpcrome,"Templates ON vs OFF, DockQ",P = 0.021,two-sided Wilcoxon signed-rank,"paired, n = 125","p.7, p.13 (Fig. 9 caption)"
matic2023gpcrome,"Templates ON vs OFF, fraction of native contacts",P = 0.004,two-sided Wilcoxon signed-rank,"paired, n = 125","p.7, p.13"
matic2023gpcrome,"pDockQ–DockQ correlation, full structure → filtered",r = 0.480 → 0.621,Pearson r,125 benchmark models,p.12 (Fig. 9D legend)
matic2023gpcrome,"Default-score–DockQ correlation, full structure → filtered",r = 0.485 → 0.618,Pearson r,125 benchmark models,p.12 (Fig. 9C legend)
matic2023gpcrome,GPCRome prediction funnel,996 pairs → 975 (−21 topology) → 857 (−118 pDockQ < 0.23) → **825** (−32 ΔSASA < 1500 Å²),complexes,UCM binary interactions; filters calibrated on experimental set,"p.7–8, p.13"
matic2023gpcrome,Predicted complexes by family,"87 Gs, 265 Gq/11, 430 Gi/o, 43 G12/13",models,the 825 filtered set,p.13 (Fig. 9 caption)
matic2023gpcrome,GPCRs / Gα covered by predictions,164 GPCRs × 13 Gα (transducins excluded),proteins,UCM,p.13
matic2023gpcrome,Gs vs Gi/o enriched-contact count,P = 4.69E-14,Mann–Whitney,125 representative complexes,"p.2, Fig. 4B"
matic2023gpcrome,"RF (receptor-only) fingerprint enrichment, Gs vs Gi/o",P = 4.4E-1 (ns),Mann–Whitney,same,"p.2, Fig. 4C"
matic2023gpcrome,"GF (G-protein-only) fingerprint enrichment, Gs vs Gi/o",P = 4.4E-2,Mann–Whitney,same,"p.2, Fig. 4C"
matic2023gpcrome,"Contact-graph topology, Gs vs Gi/o",PERMANOVA P = 1E-06 (10⁶ permutations),Frobenius-norm distance on adjacency matrices,125 complexes,"p.2, p.14"
matic2023gpcrome,"Gα docking-mode RMSD, Gs vs Gi/o","P = 2.512E-14 (Wilcoxon, Bonferroni); PERMANOVA P = 1E-6",pairwise Cα RMSD (Å) after 7TM-core superposition,"n = 903 Gs pairs, n = 2628 Gi/o pairs","p.6, p.10 (Fig. 7B)"
matic2023gpcrome,"Same, class A only",P = 6.7E-1 (ns) by Wilcoxon; P-permanova = 1E-6,as above,class-A subset,p.6 (Supp. Fig. 6)
matic2023gpcrome,"Same, after Rosetta relax without nanobodies",P = 1.1E-36; class A only P = 6.5E-6,as above,relaxed structures,"p.7 (Supp. Figs. 7, 8)"
matic2023gpcrome,"Gα RMSF, Gs vs Gi/o","P = 1.18E-13 (Wilcoxon, Bonferroni)","Å, about group centroid (8E3X Gs, 8F7S Gi/o)",n = 125 experimental structures,"p.7, p.10, p.15"
matic2023gpcrome,"ΔG binding, experimental Gs vs Gi/o",P = 7.2E-6,Rosetta REU,"n = 43 Gs, n = 73 Gi/o relaxed complexes","p.8, p.11 (Fig. 8A)"
matic2023gpcrome,"ΔSASA, experimental Gs vs Gi/o",P = 1.4E-3,Å²,same,"p.8, Fig. 8B"
matic2023gpcrome,"ΔG binding, class A only, Gs vs Gi/o",P = 3.4E-6,REU,class-A subset,p.8 (Supp. Fig. 9)
matic2023gpcrome,"ΔG binding, Gs with class A vs class B1",P = 2.3E-3,REU,"n = 22 class A, n = 15 class B1","p.8, p.11 (Fig. 8C)"
matic2023gpcrome,"ΔG binding, **predicted** complexes, Gs vs Gi/o",text says P = 9.8E-4; Fig. 9 caption says 3.28e-11 — **the paper is internally inconsistent**,REU,825 AF models,p.8 vs p.13
matic2023gpcrome,"ΔG binding, predicted, other pairs",Gs vs Gq/11 P = 0.67; Gq/11 vs Gi/o P = 1.55e-15; Gi/o vs G12/13 P = 1; Gq/11 vs G12/13 P = 1.30e-5; Gs vs G12/13 P = 4.06e-6,"REU, Mann–Whitney with Bonferroni",825 AF models,p.13 (Fig. 9F caption)
matic2023gpcrome,"ΔSASA, predicted",Gs vs Gq/11 P = 1; Gq/11 vs Gi/o P = 7.34e-16; Gi/o vs G12/13 P = 1; Gs vs Gi/o P = 5.52e-8; Gq/11 vs G12/13 P = 3.45e-3; Gs vs G12/13 P = 8.06e-3,Å²,825 AF models,p.13 (Fig. 9G caption)
matic2023gpcrome,"ΔG binding, predicted, by receptor class","P = 5.8E-3 (class A most stable, class C least)",REU,825 AF models,"p.8, Fig. 9H"
matic2023gpcrome,**Experimental validation: designed CCKAR mutants tested**,**8**,mutations,"NanoBiT Gs and Gi1 dissociation assay, CCK-8 agonist","p.5, p.8"
matic2023gpcrome,**Mutants that shifted the Gs-vs-Gi balance**,"**3 of 8** — 2 Gs-over-Gi biased (V311^6.33^H, R376^8.49^V/L), 1 Gi-over-Gs biased (K308^6.30^R); ""the rest of the five had no effect on the Gs-vs-Gi balance""",mutations,"WT CCKAR, normalised Emax and ΔpEC50",p.5
matic2023gpcrome,Assay replication,"n = 5 independent experiments (n = 3 for WT 1:4; n = 4 for WT 1:2 in Gi1); two-way ANOVA with Šidák for expression, paired two-sided t-test for coupling",replicates,WT CCKAR run in parallel,p.8 (Fig. 5 caption)
matic2023gpcrome,Flow-cytometry signal window,"MFI ≈ 2000 (WT CCKAR) vs ≈ 20 (mock); ~20,000 cells per sample",arbitrary fluorescence units,mock transfection,p.15
matic2023gpcrome,Rosetta multistate design scale,"12 binding weights (1–12); top 20 redocked structures per weight, best by total score",designs,7EZK (Gs) / 7EZH (Gi/o) as positive/negative states,p.14
mattsson2026leakage,"Boltz-2 mean Pearson r, FEP+ 4 (90% seq-id split)",0.66,r,"experimental affinity, 4 targets; as reported by [15]","p4, Fig 3 p7"
mattsson2026leakage,"Boltz-2 mean Pearson r, OpenFE (90% seq-id split)",0.62,r,"experimental affinity, 39 targets; as reported by [15]","p4, Fig 3 p7"
mattsson2026leakage,"IsoDDE mean Pearson r, FEP+ 4",0.85,r,as reported by [16],"p4, Fig 3 p7"
mattsson2026leakage,"IsoDDE mean Pearson r, OpenFE",0.73,r,as reported by [16],"p4, Fig 3 p7"
mattsson2026leakage,"FEP+ (physics) mean Pearson r, FEP+ 4",0.78,r,quoted from [15]/[16],"p4, Fig 3 p7"
mattsson2026leakage,"FEP+ (physics) mean Pearson r, OpenFE",0.72,r,quoted from [15]/[16],"p4, Fig 3 p7"
mattsson2026leakage,"OpenFE (physics) mean Pearson r, FEP+ 4",0.66,r,Fig 3 bar label,Fig 3 p7
mattsson2026leakage,"OpenFE (physics) mean Pearson r, OpenFE",0.63,r,Fig 3 bar label,Fig 3 p7
mattsson2026leakage,"**Ligand-only ""FP + mol desc"" mean r, FEP+ 4** — *best ligand-only, BEFORE leakage control*",**0.66**,r,"same split, no protein structural information","p6, Fig 3 p7"
mattsson2026leakage,"Ligand-only Chemprop mean r, FEP+ 4",0.62,r,same split,Fig 3 p7
mattsson2026leakage,"Ligand-only ""mol desc only"" (12 RDKit descriptors) mean r, FEP+ 4",0.49,r,same split,"p6, Fig 3 p7"
mattsson2026leakage,"**Ligand-only Chemprop mean r, OpenFE** — *best ligand-only, BEFORE leakage control*",**0.36**,r,same split,"p6, Fig 3 p7"
mattsson2026leakage,"Ligand-only ""mol desc only"" mean r, OpenFE",0.29,r,same split,Fig 3 p7
mattsson2026leakage,"Ligand-only ""FP + mol desc"" mean r, OpenFE",0.27,r,same split,Fig 3 p7
mattsson2026leakage,"**Best ligand-only mean r, NTAB tier = 1.00 (exact train match)** — *AFTER leakage control, most leaky tier*",**0.61**,r,"NTAB, n_a = 111, n_m = 4396","p8, Fig 4 p8"
mattsson2026leakage,"Best ligand-only mean r, NTAB tier [0.70, 1.00)",≈ 0.30 *(read from rendered panel)*,r,"NTAB, n_a = 112, n_m = 2114",Fig 4 p8
mattsson2026leakage,"Best ligand-only mean r, NTAB tier [0.50, 0.70)",≈ 0.21 *(read from rendered panel)*,r,"NTAB, n_a = 340, n_m = 7383",Fig 4 p8
mattsson2026leakage,"Best ligand-only mean r, NTAB tier [0.35, 0.50)",≈ 0.18 *(read from rendered panel)*,r,"NTAB, n_a = 235, n_m = 6106",Fig 4 p8
mattsson2026leakage,"**Best ligand-only mean r, NTAB tier [0.00, 0.35)** — *AFTER leakage control, strictest tier*",**0.14**,r,"NTAB, n_a = 24, n_m = 1108","p1, p8, Fig 4 p8"
mattsson2026leakage,"Ligand-only Chemprop mean r, NTAB tier [0.00, 0.35)",≈ 0.08 *(read from rendered panel)*,r,"NTAB, n_a = 24",Fig 4 p8
mattsson2026leakage,"Best ligand-only mean r, temporal-split-only benchmark (no novelty tiers)",0.32,r,ChEMBL 36 date split alone,p9
mattsson2026leakage,"Expected ligand-only performance in ""true de novo situations""",< 0.20,r,authors' framing of the leakage-free regime,p6
mattsson2026leakage,"Ligand-only mean absolute error, NTAB tier [0.00, 0.35)",≈ 1.02–1.13 *(read from rendered panel)*,log10 units,"NTAB, three baselines",Fig 4 p8
mattsson2026leakage,"Ligand-only mean absolute error, NTAB tier = 1.00",≈ 0.65 (Chemprop/FP) to ≈ 0.92 (mol desc) *(read from rendered panel)*,log10 units,NTAB,Fig 4 p8
mattsson2026leakage,"Assay pairs, ≥ 2 assays with ≥ 10 compounds in common","59,552 pairs / 8,454 papers",count,ChEMBL 36 census,"Table 1, p4"
mattsson2026leakage,…of which sequence similarity < 0.9,"59,085 pairs / 8,218 papers (**99% of cases**)",count,ChEMBL 36 census,"Table 1, p4"
mattsson2026leakage,…of which R² ≥ 0.6,"**6,115 pairs / 2,689 papers**",count,ChEMBL 36 census,"p1, Table 1, p4"
mattsson2026leakage,Correlated assay pairs surviving a 0.5 sequence-similarity cutoff,"> 4,000",count,"Fig 5 sweep, cutoffs 0.1–0.9","p7, Fig 5 p8"
mattsson2026leakage,Lowest sequence-identity threshold at which leakage still persists,0.2,fraction identity,Fig 5 sweep / Table 2,"p1, Fig 5 p8"
mattsson2026leakage,Muscarinic pairwise correlations ≥ 0.77 (= R² ≥ 0.6),5 of 10 pairs,count,"Augelli-Szafran 1998 series, M1–M5","p3, Fig 1 p3"
mattsson2026leakage,Muscarinic M1 vs M3 Pearson r,0.90,r,same series,"p3, Fig 1 p3"
mattsson2026leakage,Muscarinic M1 vs M5 Pearson r,0.96,r,same series,"p3, Fig 1 p3"
mattsson2026leakage,Muscarinic inter-subtype overall sequence similarity,40–65,%,UniProt/ChEMBL sequences,p4
mattsson2026leakage,JNK1 (test) vs JNK2 (train) series Pearson r,0.95,r,"CHEMBL860181 vs CHEMBL860184, same 2006 paper","p4, Fig 2 p6"
mattsson2026leakage,JNK1/JNK2 sequence identity,81,%,MMseqs2 / sequence alignment,"p4, Fig 2 p6"
mattsson2026leakage,"TNKS2 (test) vs TNKS1 (train, CHEMBL4322251) Pearson r",0.98,r,"merck subset, coverage 19/27 ligands","p5, Fig 6 p10"
mattsson2026leakage,TNKS2/TNKS1 sequence identity,71.4,%,Fig 6 annotation,"p5, Fig 6 p10"
mattsson2026leakage,"BTK (test) vs LCK (train, CHEMBL3588238) Pearson r",0.94,r,"miscellaneous subset, coverage 6/6 ligands","p5, Fig 6 p10"
mattsson2026leakage,BTK/LCK sequence identity,22.5,%,Fig 6 annotation,"p5, Fig 6 p10"
mattsson2026leakage,"Ligand-only r under IsoDDE-style assay-average binning, ""high"" bin",0.40,r,reproduction of IsoDDE binning,"p9, Fig 8 p13"
mattsson2026leakage,"Ligand-only r under IsoDDE-style assay-average binning, ""medium"" bin",0.27,r,reproduction; strictest bin has only 5 assays,"p9, Fig 8 p13"
mattsson2026leakage,"Boltz-2 similarity-diagnostic reproduction, Tukey-HSD",fails to reject H0 (no difference between buckets),—,"chemprop ligand-only on OpenFE, 4 buckets, n_a 10–21","p11, Fig 7 p11"
mattsson2026leakage,"Fig 8 Tukey-HSD, [0.33, 0.66) vs [0.66, 1.00)",significant for all three models,—,NTAB assay-average binning,Fig 8 p13
mattsson2026leakage,pIC50 vs molecular weight Pearson r,0.19,r,across the NTAB dataset,p9
mattsson2026leakage,pIC50 vs CLogP Pearson r,0.082,r,across the NTAB dataset,p9
miglionico2026atlas,"Median DockQ, GPCR–Gα interface only",**0.73**,DockQ (0–1),"213 predicted complexes vs post-cutoff experimental structures (deposited after 30 Sep 2021, pair unseen before that date)",p4
miglionico2026atlas,Fraction at acceptable quality or better,**98.6% (210/213)**,% of complexes with DockQ > 0.23,same 213-pair post-cutoff set; threshold 0.23 imported from ref 30,p4
miglionico2026atlas,Same quantity as restated in the Discussion (**does not reconcile**),**98% of 219**,%,"""experimental structures solved after AF3 training""",p14
miglionico2026atlas,Post-cutoff structures screened before one-per-pair collapse,583,PDB structures,"deposited after 30 Sep 2021, pair had no earlier structure",p20
miglionico2026atlas,Structurally plausible predictions (G protein at the intracellular face),"**98.4% (5,032/5,109)**; 77 mis-docked extracellularly",% of predictions,"visual/topological call, no threshold stated",p4
miglionico2026atlas,Mis-docked pairs that are experimental non-couplers,12 of 13,count,GproteinDb coupling labels,p4
miglionico2026atlas,**Receptor counts — non-olfactory**,"393 modelled (× 13 Gα = 5,109 pairs); 213 in training; **180 newly predicted**; 248 class A with ≥1 predicted coupling vs 151 experimental",receptors,GtoPDB v2025.02 catalogue,"p4, p7, p8, p28"
miglionico2026atlas,**Receptor counts — olfactory**,"**408 modelled** (× 13 Gα = 5,304 pairs); **388 with ≥1 predicted positive coupling**; 1,573 positive OR couplings",receptors / couplings,UniProt + GPCRdb OR lists,"p10, p22, p28"
miglionico2026atlas,"Total predicted positive couplings, GPCRome-wide","2,927 (1,354 non-OR + 1,573 OR)",couplings,Precog3D at threshold 4,"Fig 1A, p28"
