citekey,fig_no,page,gist,plot_type,data_shape,form,slot_facet,slot_vary,slot_series,slot_measure,slot_mark,slot_n,slot_rows,slot_cols,slot_value,slot_views,slot_overlay,panels,hides,reuse
lu2026twostages,4B,4,"seq2pair dominates early, pair2seq late, without any intervention",line,"`PLOT \| facet: none (1) \| vary: trunk block index, 0–47 (continuous) \| series: pathway (2: seq2pair, pair2seq) \| measure: normalized update contribution magnitude \| mark: line \| n: NOT REPORTED`",PLOT,,,,,,,,,,,,1 (b),"Each pathway is normalized *within itself* across the trunk (p5), so the two curves are not on a comparable scale and their crossing point carries no meaning — the normalization is stated in the text but not on the axis",NOT REPORTED; p15
lu2026twostages,4C,4,Ablating seq2pair in an early window destroys motif formation; recovery past block 12,line,"`PLOT \| facet: none (1) \| vary: ablation window start block, 0–47 (continuous, window size 15) \| series: ablated pathway (2: seq2pair, pair2seq) \| measure: % of outputs with donor motif \| mark: line \| n: NOT REPORTED`",PLOT,,,,,,,,,,,,1 (c),,NOT REPORTED; p15
lu2026twostages,5A,5,Charge-steering construction: opposite charges on the two helical flanks,schematic,"`SCHEMATIC \| target helix-turn-helix, +charge on helix 1 and −charge on helix 2, producing an output hairpin \| no data`",SCHEMATIC,,,,,,,,,,,,1 (a),,NOT REPORTED; p15
lu2026twostages,5B,5,"Charge steering induces hairpins, concentrated in early blocks, in all three models",line (filled area),"`PLOT \| facet: none (1) \| vary: steering window start block, 0–~33 (continuous, window size 15) \| series: model (3: ESMFold, OpenFold, Boltz) \| measure: % of outputs with hairpin \| mark: line (filled) \| n: ≈500 cases per model (p6); per-point n NOT REPORTED`",PLOT,,,,,,,,,,,,"1 (b), three models overlaid","No error band, despite p31 claiming 95% CIs for Fig 5c only; per-block n not shown",NOT REPORTED; p15
lu2026twostages,5C,5,"The sign-controlled ESMFold control: same-charge repels strands, opposite-charge attracts",line,"`PLOT \| facet: none (1) \| vary: steering window start block, 0–~33 (continuous) \| series: steering condition (4: Pos-Pos, Neg-Neg, Pos-Neg, Neg-Pos) \| measure: cross-strand Cα distance change Δ (Å) \| mark: line \| n: 500 sampled β-hairpins for the same-charge arm (p6); per-point n NOT REPORTED`",PLOT,,,,,,,,,,,,1 (c),,NOT REPORTED; p15
lu2026twostages,6A,6,pair2seq bias separates contacts from non-contacts in middle/late blocks (ESMFold),line,"`PLOT \| facet: none (1) \| vary: trunk block index, 0–47 (continuous) \| series: none (1: hairpin AUC) \| measure: contact-prediction ROC-AUC \| mark: line \| n: NOT REPORTED`",PLOT,,,,,,,,,,,,1 (a),"y-axis starts at 0.4, not at the 0.5 chance line, so blocks performing at chance are not visually identifiable as such",NOT REPORTED; p15
lu2026twostages,6B,6,"Head-averaged pair2seq bias at block 32, with 8 Å contact contours over it",heatmap,"`MATRIX \| rows: residue index (~80) \| cols: residue index (~80) \| value: head-averaged pair2seq attention bias (signed, red positive / blue negative), with green 8 Å contact contours overlaid \| facet: none (1)`",MATRIX,,,,,,,,,,,,"1 (b), one representative protein",Single hand-picked protein at a single hand-picked block; no quantification of how typical it is (6A carries that),NOT REPORTED; p15
lu2026twostages,6C,6,Scaling `z` before the structure module scales output distances; scaling `s` does nothing,line,"`PLOT \| facet: none (1) \| vary: scaling factor applied before the structure module, 0–2 (continuous) \| series: representation scaled (2: pairwise z, sequence s) \| measure: Δ mean pairwise Cα distance from the scale=1.0 baseline (Å) \| mark: line with shaded band \| n: 600 proteins (p7)`",PLOT,,,,,,,,,,,,1 (c),,NOT REPORTED; p15
lu2026twostages,6D,6,"Predicted structures at three pairwise-scaling factors, with the gradient annotated",structure render,`RENDER \| facet: pairwise scaling factor (3) \| views: 1 \| overlay: NOT REPORTED predictions on 0 references \| axis: none`,RENDER,,,,,,,,,,,,"1 (d), 3 renders",Which protein is shown is not stated; no reference structure for comparison,NOT REPORTED; p15
lu2026twostages,7A,7,Linear distance probes on `z` reach R² ≈ 0.9 in late blocks in all three models,line (points+line),"`PLOT \| facet: none (1) \| vary: trunk block index, 0–47 (continuous) \| series: model (3) \| measure: test R² of a linear Cα-distance probe \| mark: point+line \| n: 200 evaluation proteins per point (p7)`",PLOT,,,,,,,,,,,,"1 (a), three models overlaid",,NOT REPORTED; p15
lu2026twostages,7B,7,"Distance steering induces hairpins, peaking in middle-to-late blocks, in all three models",line (filled area),"`PLOT \| facet: none (1) \| vary: steering window start block, 0–~35 (continuous, window size 10) \| series: model (3) \| measure: % of outputs with hairpin (DSSP) \| mark: line (filled) \| n: NOT REPORTED`",PLOT,,,,,,,,,,,,"1 (b), three models overlaid","No n, no error band",NOT REPORTED; p15
lu2026twostages,7C,7,"Distance-steering setup: baseline vs steered cross-strand distance matrix, and the resulting structures",schematic,"`SCHEMATIC \| baseline and steered 5×5 cross-strand distance sub-matrices with the steering rule z'ij = zij − αw, beside cartoon input helix and output hairpin \| no data`",SCHEMATIC,,,,,,,,,,,,1 (c) composite,"The distance sub-matrices are illustrative, not measured data, but are drawn with a quantitative Å colourbar",NOT REPORTED; p15
lu2026twostages,8A,8,"CKA between every block pair, ESMFold vs OpenFold and ESMFold vs Boltz-1",heatmap,"`MATRIX \| rows: ESMFold block (48) \| cols: other-model block (48) \| value: CKA \| facet: model pairing (2: vs OpenFold, vs Boltz-1)`",MATRIX,,,,,,,,,,,,"1 (a), 2 heatmaps sharing a colourbar",,NOT REPORTED; p15
lu2026twostages,8B,8,"Procrustes alignment R² per block, with shuffled baselines pinned near zero",line,"`PLOT \| facet: none (1) \| vary: trunk block index, 0–47 (continuous) \| series: donor model × correspondence (4: OpenFold true, Boltz-1 true, OpenFold shuffled, Boltz-1 shuffled) \| measure: projection test R² \| mark: line (dotted for shuffled) \| n: NOT REPORTED`",PLOT,,,,,,,,,,,,1 (b),y-axis floored at 0 while the shuffled whitened-Procrustes R² is reported in App M.1 as ≈ −1 (p26) — the control curve is therefore clipped to the axis bottom and its true depth is invisible here,NOT REPORTED; p15
lu2026twostages,8C,8,"Cross-model patching reproduces the late-block window, at reduced strength",line (filled area),"`PLOT \| facet: none (1) \| vary: trunk block index, 0–47 (continuous) \| series: donor model (3: ESMFold self, OpenFold, Boltz-1) \| measure: % of outputs with target motif \| mark: line (filled) \| n: NOT REPORTED`",PLOT,,,,,,,,,,,,"1 (c), three donors overlaid into ESMFold",No n or error band on rates that peak at only 10–22%,NOT REPORTED; p15
lu2026twostages,9,13,A β-hairpin sequence with strand–loop–strand braces,schematic,`SCHEMATIC \| single-letter amino acid sequence annotated with strand 1 / loop / strand 2 braces \| no data`,SCHEMATIC,,,,,,,,,,,,1,,NOT REPORTED; p15
lu2026twostages,10,13,3D cartoon of a β-hairpin with two side chains labelled,structure render,`RENDER \| facet: none (1) \| views: 1 \| overlay: 0 predictions on 1 reference \| axis: none`,RENDER,,,,,,,,,,,,1,,NOT REPORTED; p15
lu2026twostages,11,17,"Recycling matters for long proteins, not short ones — the justification for disabling it",line,"`PLOT \| facet: none (1) \| vary: number of recycles, 0–4 (continuous) \| series: protein length class (3: <100 aa, 100–300 aa, >300 aa) \| measure: mean Cα RMSD to the highest-recycle prediction (Å) \| mark: point+line \| n: NOT REPORTED (a ""randomly sampled subset of UniProt protein sequences"", p16)`",PLOT,,,,,,,,,,,,1,"Subset size never stated; no error bars. The panel shows medium and long proteins still refining at 4 recycles, yet recycling is disabled for targets up to 400 residues",NOT REPORTED; p15
lu2026twostages,12,17,Where in ESMFold patching works: trunk ≫ structure module ≈ input substitution ≈ encoder,bar,"`PLOT \| facet: none (1) \| vary: intervention site (5: folding trunk touch mask, folding trunk standard intra mask, structure module, input intervention, ESM encoder) \| series: none (1) \| measure: % of outputs with hairpin \| mark: bar (horizontal; measure runs along the horizontal axis) \| n: NOT REPORTED per bar`",PLOT,,,,,,,,,,,,1,"Bars over what are certainly heterogeneous per-case distributions, with no n, no CI, and no distribution shown — the single clearest example in this paper of a bar hiding a distribution",NOT REPORTED; p15
lu2026twostages,13,18,Touch masking widens the pairwise window to blocks 25–47,line (filled area),"`PLOT \| facet: none (1) \| vary: trunk block index, 0–47 (continuous) \| series: patch type (2: sequence patch, pairwise patch with touch mask) \| measure: % of outputs with hairpin \| mark: line (filled) \| n: NOT REPORTED`",PLOT,,,,,,,,,,,,1,No n or error band,NOT REPORTED; p15
lu2026twostages,14A,19,"Single-block patching success by block, replicated in all three models",line (filled area),"`PLOT \| facet: model (3) \| vary: trunk block index (continuous; 0–47, Boltz-1 0–51) \| series: patch type (2: sequence, pairwise) \| measure: % of outputs with donor motif \| mark: line (filled) \| n: NOT REPORTED`",PLOT,,,,,,,,,,,,"3 (a, one per model)",,NOT REPORTED; p15
lu2026twostages,14B,19,"The early write-in window, replicated: seq patch shifts `z`, freezing seq2pair blocks it",line,"`PLOT \| facet: model (3) \| vary: trunk block index (continuous) \| series: intervention (3: seq patch @0, seq patch + seq2pair frozen, pairwise patch @0) \| measure: interpolation coefficient α of z toward donor \| mark: line, with the write-in window shaded yellow \| n: NOT REPORTED`",PLOT,,,,,,,,,,,,3 (b),,NOT REPORTED; p15
lu2026twostages,14C,19,"Pathway contribution magnitudes, replicated; Boltz-1's seq2pair collapses to blocks 0–3",line,"`PLOT \| facet: model (3) \| vary: trunk block index (continuous) \| series: pathway (2: seq2pair, pair2seq) \| measure: normalized update contribution magnitude \| mark: line \| n: NOT REPORTED`",PLOT,,,,,,,,,,,,3 (c),Same within-pathway normalization issue as 4B,NOT REPORTED; p15
lu2026twostages,14D,19,"Sliding-window ablation, replicated; pair2seq ablation is inert everywhere",line,"`PLOT \| facet: model (3) \| vary: ablation window start block (continuous, window size 15) \| series: ablated pathway (2: seq2pair, pair2seq) \| measure: % of outputs with donor motif \| mark: line \| n: NOT REPORTED`",PLOT,,,,,,,,,,,,3 (d),,NOT REPORTED; p15
lu2026twostages,15,21,Charge is linearly separable along the DoM direction throughout every trunk,line,"`PLOT \| facet: model (3) \| vary: trunk block index (continuous) \| series: none (1) \| measure: ROC-AUC separating {K,R,H} from {D,E} \| mark: line \| n: NOT REPORTED`",PLOT,,,,,,,,,,,,"3, one per model",AUC near 1.0 for most of every trunk — the curve is at ceiling and carries no block-resolved information after block ~10,NOT REPORTED; p15
lu2026twostages,16A-B,21,"Charge enters `z` during the early window, tracking each model's seq2pair locus",line,"`PLOT \| facet: probe source (2: seq2pair output, pairwise representation z) × model (3) \| vary: trunk block index (continuous) \| series: charge class probed (2: positive K/R/H, negative D/E) \| measure: balanced accuracy \| mark: line \| n: NOT REPORTED`",PLOT,,,,,,,,,,,,"6 (2 rows a–b × 3 models); a and b share mark and measure, so one row per the v3 split rule",Chance level for a balanced-accuracy probe is 0.5 but no chance line is drawn,NOT REPORTED; p15
lu2026twostages,17,22,"Charge steering dose–response: threshold ≈0.4 std-DoM, then saturation, all three models",line,"`PLOT \| facet: model (3) \| vary: steering magnitude, 0–~1 std-DoM (continuous) \| series: steering condition (4: Both+, Both−, +/−, −/+) \| measure: mean cross-strand Cα distance change (Å) \| mark: line \| n: NOT REPORTED (≤40-residue single-motif proteins, p22)`",PLOT,,,,,,,,,,,,"3, one per model",n per condition never given; the saturating plateau means the reported α = 3σ operating point is off the right-hand end of this axis and cannot be located on it,NOT REPORTED; p15
lu2026twostages,18,23,Strands progressively separate as same-charge steering increases,structure render,"`RENDER \| facet: steering magnitude (4: 0.2, 0.4, 0.6, 0.8 std-DoM) \| views: 1 \| overlay: 0 predictions on 0 references \| axis: none`",RENDER,,,,,,,,,,,,4 (a–d),"One hand-picked protein; no reference or unsteered overlay, so the reader cannot judge how much of the change is the intervention",NOT REPORTED; p15
lu2026twostages,19A,24,"Contact-separating pair2seq bias in middle/late blocks, all three models",line,`PLOT \| facet: model (3) \| vary: trunk block index (continuous) \| series: none (1: hairpin AUC) \| measure: contact-prediction ROC-AUC \| mark: line \| n: NOT REPORTED`,PLOT,,,,,,,,,,,,3 (a),y-axes start at 0.4/0.5 and differ between panels; the 0.5 chance line is not marked,NOT REPORTED; p15
lu2026twostages,19B,24,"Head-averaged pair2seq bias maps with contact contours, one representative protein per model",heatmap,"`MATRIX \| rows: residue index (~80–110) \| cols: residue index (~80–110) \| value: head-averaged pair2seq attention bias (signed), with green 8 Å contact contours and the hairpin region marked \| facet: model (3)`",MATRIX,,,,,,,,,,,,3 (b),"One hand-picked protein and block per model; colourbar ranges differ across panels, so the three maps are not directly comparable",NOT REPORTED; p15
lu2026twostages,19C,24,Scaling `z` moves output distances in all three models; scaling `s` never does,line,"`PLOT \| facet: model (3) \| vary: scaling factor before the structure module, 0–2 (continuous) \| series: representation scaled (2: pairwise, sequence) \| measure: Δ mean pairwise Cα distance from the scale=1.0 baseline (Å) \| mark: line with ±1 SD band \| n: 600 proteins (p7)`",PLOT,,,,,,,,,,,,3 (c),"y-axis ranges differ per panel (ESMFold ~−15→+5, OpenFold ~−15→+5, Boltz-1 ~−15→+2.5), so the ""OpenFold largest, Boltz-1 smallest"" claim cannot be read off the panels without checking axes",NOT REPORTED; p15
lu2026twostages,21,25,Per-head pair2seq bias at block 32 for β-sheet protein 6rwc,heatmap,"`MATRIX \| rows: residue index (~85) \| cols: residue index (~85) \| value: per-head pair2seq attention bias (signed), green 8 Å contact contours \| facet: attention head (8)`",MATRIX,,,,,,,,,,,,8 (heads 0–7),Purely qualitative; head specialisation is asserted from these maps with no quantitative summary,NOT REPORTED; p15
lu2026twostages,22,25,Per-head pair2seq bias at block 32 for β-helix protein 1l0s,heatmap,"`MATRIX \| rows: residue index (~85) \| cols: residue index (~85) \| value: per-head pair2seq attention bias (signed), green 8 Å contact contours \| facet: attention head (8)`",MATRIX,,,,,,,,,,,,8 (heads 0–7),as above,NOT REPORTED; p15
lu2026twostages,23,26,PyMOL views of the two example proteins used for the bias maps,structure render,"`RENDER \| facet: protein (2: 6rwc, 1l0s) \| views: 1 \| overlay: 0 predictions on 1 reference each \| axis: none`",RENDER,,,,,,,,,,,,2,,NOT REPORTED; p15
lu2026twostages,24A,27,CKA across all three model pairings,heatmap,"`MATRIX \| rows: model A block (48) \| cols: model B block (48) \| value: CKA \| facet: model pairing (3: ESM↔OF, ESM↔Boltz, OF↔Boltz)`",MATRIX,,,,,,,,,,,,3 (top row),,NOT REPORTED; p15
lu2026twostages,24B,27,"Procrustes R² in both directions of each pairing, with shuffled baselines",line,"`PLOT \| facet: model pairing (3) \| vary: trunk block index (continuous) \| series: direction × correspondence (4: A→B true, B→A true, A→B shuffled, B→A shuffled) \| measure: projection test R² \| mark: line (solid/dashed true, dotted shuffled) \| n: NOT REPORTED`",PLOT,,,,,,,,,,,,3 (middle row),Same clipped-floor problem as 8B: shuffled whitened-Procrustes R² is ≈ −1 (p26) but the panels bottom out near 0,NOT REPORTED; p15
lu2026twostages,24C,27,Cross-model patching in all six donor→receiver directions,line (filled area),`PLOT \| facet: model pairing (3) \| vary: trunk block index (continuous) \| series: donor→receiver direction (2 per pairing) \| measure: % of outputs with target motif \| mark: line (filled) \| n: NOT REPORTED`,PLOT,,,,,,,,,,,,"3 (bottom row), 6 curves total","No n, no CI, on rates of 5–17%; the direction asymmetry the text flags as unexplained (p26) is presented without any uncertainty estimate that would say whether it is real",NOT REPORTED; p15
lu2026twostages,25,28,"Under shuffling, ridge and CCA still score; whitened Procrustes sits at the floor",line,"`PLOT \| facet: none (1) \| vary: trunk block index (continuous) \| series: alignment method (5: ridge, CCA, unwhitened Procrustes, whitened Procrustes, random orthogonal) \| measure: test R² under shuffled correspondences \| mark: line \| n: NOT REPORTED`",PLOT,,,,,,,,,,,,1,,NOT REPORTED; p15
masters2025physics,1,p.3,"CDK2/ATP (PDB 1B38): four binding-site mutagenesis challenges × four co-folding models; predicted pocket residues cyan, predicted ligand green, co-crystal ligand grey",structure render / grid of small multiples,"`RENDER \| facet: challenge (4: wild type, binding site removal, binding site packing, binding site inversion) × model (4: AF3, RFAA, Boltz-1, Chai-1) \| views: 1 (binding-site close-up, single camera) \| overlay: NOT REPORTED predictions on 1 reference (co-crystal ATP pose, grey) \| axis: none`",RENDER,,,,,,,,,,,,"16 (4 rows × 4 columns); rows vary by perturbation, columns by model; one camera throughout","**Yes.** The central claim of the paper's first result has **no quantitative panel at all** — pose displacement, steric clashes and ""unphysical overlapping atoms"" are called by eye. Only two RMSD values (0.2, 2.2 Å) appear anywhere, in prose. Number of predictions generated per cell, and how the displayed one was selected, not shown","CC BY 4.0, **no ND clause** — redrawing and modification permitted with attribution (p.12)"
masters2025physics,2,p.4,"MEK1 (PDB 7XLP), the out-of-training-set system: same four challenges × four models",structure render / grid of small multiples,"`RENDER \| facet: challenge (4: wild type, removal, packing, inversion) × model (4: AF3, RFAA, Boltz-1, Chai-1) \| views: 1 (binding-site close-up) \| overlay: NOT REPORTED predictions on 1 reference (co-crystal ligand pose, grey) \| axis: none`",RENDER,,,,,,,,,,,,"16 (4 rows × 4 columns); identical layout to Fig. 1, caption defers to it (""Results are presented in the same manner as Fig. 1"")","**Yes.** Same defect as Fig. 1, and it lands harder here: this is the *entire* anti-memorisation control (n = 1), reported with zero numbers — no RMSD is given for any of the 16 cells, so the arm cannot be quantitatively compared to Fig. 1","CC BY 4.0, no ND (p.12)"
masters2025physics,3,p.5,"CASF-2016 (n = 285): fraction of systems still within 2 Å of the native pose under each disruption, stratified by mean ligand pLDDT",bar,"`PLOT \| facet: none (1) \| vary: mean ligand pLDDT bin (3: <70, 70–80, >80) \| series: challenge (4: wild type, binding site removal, binding site packing, binding site inversion) \| measure: fraction of systems with ligand RMSD < 2 Å to native pose \| mark: bar \| n: NOT REPORTED per mark (285 complexes split across 3 pLDDT bins, per-bin n never given), 285 per panel`",PLOT,,,,,,,,,,,,"1 panel, 12 bars (3 pLDDT groups × 4 challenge series)","**Yes, four ways.** (i) Bars hide the underlying continuous RMSD distribution — a system at 1.9 Å and one at 0.1 Å are the same bar. (ii) **Per-bin n is not shown**, so the three pLDDT groups may be wildly unequal and no bar carries a denominator. (iii) **No error bars or CIs anywhere.** (iv) **The y-axis is truncated at 0.8** rather than running to 1.0, which visually inflates every difference — the tallest bar looks like a full column","CC BY 4.0, no ND (p.12)"
masters2025physics,4 (left column),p.6,"2D chemical structures of glucose with progressively methylated alcohols, one per row",schematic,"`SCHEMATIC \| 2D skeletal structures of the progressive glucose methylation series, one per row \| no data`",SCHEMATIC,,,,,,,,,,,,6 (one chemical structure per figure row); varies by methylation state,,"CC BY 4.0, no ND (p.12)"
masters2025physics,4 (model columns),p.6,Glucose dehydrogenase (PDB 2VWH): predicted pose for each methylation state × each model,structure render / grid of small multiples,"`RENDER \| facet: methylation state (6: 0–5 progressive methyl additions as displayed) × model (4: AF3, RFAA, Boltz-1, Chai-1) \| views: 1 (pocket close-up) \| overlay: NOT REPORTED predictions on 1 reference (crystal glucose pose, grey) \| axis: none`",RENDER,,,,,,,,,,,,"24 (6 rows × 4 columns); rows vary by methylation state, columns by model","**Yes.** No quantitative panel for the methylation series at all — RMSD is never plotted, and the qualitative claims (""Several steric clashes and stretched bonds were observed"", p.5) carry no count or distance. Also a **figure/table inconsistency**: 6 methylation rows are drawn here, while Table 1 (p.8) tabulates glucose through **6 methyls** (7 states); the two cannot both be complete","CC BY 4.0, no ND (p.12)"
masters2025physics,5A,p.7,"Electrostatic surface of the CDK2 pocket and of unmodified ATP, showing charge complementarity",structure render,"`RENDER \| facet: entity (2: pocket surface, ATP surface) \| views: 1 \| overlay: 0 predictions on 1 reference (crystal structure, PDB 1B38) \| axis: none (colour bar −0.3 to +0.3 e/Å²)`",RENDER,,,,,,,,,,,,"2 + colour bar. Split from 5B–C because it carries **no predictions** (overlay 0 vs. 24 prediction panels) — a genuine shape difference, though the v3 split rule keys on `mark`/`measure`, which RENDER rows do not have",,"CC BY 4.0, no ND (p.12)"
masters2025physics,5B-C (left columns),p.7,"2D chemical structures of the six ATP analogues — three tert-butyl (charge 0) variants and three quaternary-amine variants (+1, +2, +3)",schematic,"`SCHEMATIC \| 2D skeletal structures of the six ATP charge variants, one per row across panels B and C \| no data`",SCHEMATIC,,,,,,,,,,,,"6 (3 in B, 3 in C); varies by charge variant",,"CC BY 4.0, no ND (p.12)"
masters2025physics,5B-C (model columns),p.7,CDK2 (PDB 1B38): predicted pose for each charge-modified ATP analogue × each model,structure render / grid of small multiples,"`RENDER \| facet: ligand charge variant (6: 3 tert-butyl/uncharged in B, 3 quaternary-amine +1/+2/+3 in C) × model (4: AF3, RFAA, Boltz-1, Chai-1) \| views: 1 (pocket close-up) \| overlay: NOT REPORTED predictions on 1 reference (ATP, grey) \| axis: none`",RENDER,,,,,,,,,,,,"24 (6 rows × 4 columns, split across panels B and C); rows vary by charge variant, columns by model","**Yes.** The strongest perturbation in the paper — charge inverted from −3 to +3 in a positively charged pocket — is reported with **no measured displacement of any kind**. ""AlphaFold3 and Boltz-1 both partially displaced the ligand"" and ""RosettaFold All-Atom and Chai-1 showed little to no repositioning"" (p.5) are eyeball calls; no RMSD, no centre-of-mass shift, no distance","CC BY 4.0, no ND (p.12)"
matic2023gpcrome,1A,3,"Workflow: experimental (125) and AF-predicted (825) complexes feed contact analysis, structural alignment and Rosetta binding-energy calculation",schematic,"`SCHEMATIC \| pipeline from PDB complexes and AlphaFold-Multimer models through contact fingerprinting, RMSD alignment and Rosetta interface energetics \| no data`",SCHEMATIC,,,,,,,,,,,,"1 panel, 4 boxed stages, each stage illustrated with a miniature of a downstream figure",,"CC BY 4.0, **no ND clause** — ""Open Access This article is licensed under a Creative Commons Attribution 4.0 International License, which permits use, sharing, adaptation, distribution and reproduction in any medium or format"" (p.17). Redrawing and modification permitted with attribution."
matic2023gpcrome,1B-C,3,"Composition of the experimental corpus (B, nested sunburst over G-protein family → Gα gene → receptor class) and of the 125 non-redundant representatives (C, donut over G-protein family)",bar (drawn as nested sunburst / donut wedges),"`PLOT \| facet: dataset (2: all 362 experimental complexes; 125 non-redundant representatives) \| vary: G-protein family × Gα gene × receptor class, nested (4 × 9 × 5) \| series: G-protein family (4: Gs, Gi/o, Gq/11, G12/13) \| measure: number of complexes \| mark: bar \| n: 362 complexes in B, 125 in C; counts printed on wedges`",PLOT,,,,,,,,,,,,"2 panels, varying by dataset",,as above (p.17)
matic2023gpcrome,2A,4,"Representative complex (PDB 6CMO) with every GPCR and G-protein secondary-structure element labelled, as the legend for the network panels",structure render,"`RENDER \| facet: none (1) \| views: 1 (side-on, membrane-normal vertical) \| overlay: NOT REPORTED predictions on 1 reference \| axis: none`",RENDER,,,,,,,,,,,,1 panel,,as above (p.17)
matic2023gpcrome,2B-C,4,"Node-link SSE contact networks for Gs and for Gi/o complexes; node size = total contacts through that SSE, edge width = number of unique GPCRs, edge colour = mean contact conservation","heatmap (adjacency, drawn node-link)","`MATRIX \| rows: GPCR secondary-structure element (~14) \| cols: G-protein secondary-structure element (~15) \| value: number of unique GPCRs mediating the contact (edge width) and mean contact fraction (edge colour, 0–0.6) \| facet: coupling group (2: Gs, Gi/o)`",MATRIX,,,,,,,,,,,,"2 panels, varying by coupling group; shared legend","Contact *counts* per edge are shown only as line width against a 3-step size key; per-edge n is not printed. Dashed edges encode ""contact absent in this group but present in the other"", which is a second value channel with no scale.",as above (p.17)
matic2023gpcrome,2D-E,4,"Node degree of each SSE, Gs mirrored against Gi/o, split into GPCR-side (D) and G-protein-side (E) elements",bar,"`PLOT \| facet: interface side (2: GPCR SSE, G-protein SSE) \| vary: secondary-structure element (12 GPCR, 15 G-protein) \| series: coupling group (2: Gs, Gi/o) \| measure: node degree \| mark: bar \| n: 1 network per series, built from 125 complexes; per-bar n not shown`",PLOT,,,,,,,,,,,,"2 panels, varying by interface side; diverging (mirrored) horizontal bars","Diverging mirrored layout makes the two series share a zero line and read as one bar; no error bars and no per-SSE n, so nothing indicates how many complexes support each degree.",as above (p.17)
matic2023gpcrome,2F,4,"Betweenness centrality of each GPCR SSE, Gs mirrored against Gi/o",bar,"`PLOT \| facet: none (1) \| vary: GPCR secondary-structure element (10) \| series: coupling group (2: Gs, Gi/o) \| measure: betweenness centrality \| mark: bar \| n: 1 network per series from 125 complexes`",PLOT,,,,,,,,,,,,"1 panel, diverging horizontal bars",Same diverging-bar issue as 2D-E; the x-axis tick labels are dense and unreadable at print size.,as above (p.17)
matic2023gpcrome,3A,5,"Binary contact fingerprint: contact positions (rows) × unique receptor complexes (columns), Ward-clustered into Cluster 1 (Gs-enriched) and Cluster 2 (Gi/o-enriched), with six annotation tracks above (G-protein bound, class, family, and Gs/Gi/o/Gq11/G1213 coupling)",heatmap,"`MATRIX \| rows: GPCR–G-protein contact position pair, GPCRdb × CGN numbering (~46 after filtering) \| cols: unique receptor complex (~125, Ward/Euclidean clustered) \| value: contact present (1) or absent (0), binary \| facet: none (1)`",MATRIX,,,,,,,,,,,,1 heatmap + dendrogram + 6 categorical annotation rows,"**Yes.** The rows shown are pre-selected using experimentally known coupling labels — ""Only contacts present in at least 10% of the structures and having an absolute LOR value greater than 2 are considered."" The two-cluster Gs/Gi separation the figure displays is therefore partly built in by the filter, and the control showing this (unfiltered clustering separates by receptor class instead) is exiled to Supplementary Fig. 2. Contact strength is discarded by the binary encoding.",as above (p.17)
matic2023gpcrome,3 (right marginal),5,"Log-odds ratio of each contact position, Gs against Gi/o, aligned to the heatmap rows",bar,"`PLOT \| facet: none (1) \| vary: contact position (~46, shared with 3A rows) \| series: coupling group (2: Gs, Gi/o) \| measure: log-odds ratio \| mark: bar \| n: 125 complexes behind each LOR; per-position n not shown`",PLOT,,,,,,,,,,,,"1 marginal panel, diverging horizontal bars","Axis label is printed at ~3 pt and is illegible; no axis scale is readable, so the absolute-LOR > 2 cutoff cannot be checked from the figure.",as above (p.17)
matic2023gpcrome,4A,6,Fraction of receptors in each CF cluster reported to couple to each G-protein family,bar,"`PLOT \| facet: none (1) \| vary: G-protein family (4) \| series: CF cluster (2: cluster 1, cluster 2) \| measure: fraction of receptors with that coupling \| mark: bar \| n: NOT REPORTED per cluster`",PLOT,,,,,,,,,,,,1 panel,"Cluster sizes (n per cluster) are not printed, so the fractions (e.g. 35% vs 15% for G12/13) rest on unstated denominators.",as above (p.17)
matic2023gpcrome,4B-C,6,"Distributions of the LOR statistic — B for complex (CF) fingerprints Gs vs Gi/o, C for receptor-only (RF) and G-protein-only (GF) fingerprints, with medians as dashed lines",violin,"`PLOT \| facet: fingerprint type (3: CF, RF, GF) \| vary: coupling group (2: Gs, Gi/o) \| series: coupling group (2) \| measure: log-odds ratio \| mark: violin \| n: 125 complexes per group; per-violin n not printed`",PLOT,,,,,,,,,,,,3 violin panels (4B plus the two flanking 4C),Panel C's violins are drawn beside a B-factor-coloured structure render sharing the same letter; n per violin is not printed.,as above (p.17)
matic2023gpcrome,4C (structure),6,"LOR mapped onto B-factor colouring of one representative Gi/o complex (PDB 7VL9), receptor above, G-protein below",structure render,"`RENDER \| facet: interface side (2: receptor chain R, G-protein chain A) \| views: 1 (intracellular-face view) \| overlay: NOT REPORTED predictions on 1 reference \| axis: none`",RENDER,,,,,,,,,,,,"2 sub-renders, letter 4C also appears in the 4B-C plot row","A statistic pooled over 125 complexes is painted onto a single structure, which reads as a property of that structure.",as above (p.17)
matic2023gpcrome,4D-E,6,"Contact-frequency heatmaps, GPCR positions × G-protein positions, for Gs (D) and Gi/o (E)",heatmap,"`MATRIX \| rows: G-protein position, CGN numbering \| cols: GPCR position, GPCRdb numbering \| value: contact frequency over unique complexes (>20% only) \| facet: coupling group (2: Gs, Gi/o)`",MATRIX,,,,,,,,,,,,"2 panels, varying by coupling group",Thresholding at >20% frequency removes the tail without showing it; the number of complexes behind each cell is not given.,as above (p.17)
